Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.6,166.9,2.097,0.2788,-1.8182
-47.6,166.9333333,2.024,0.2788,-1.7452
-47.6,166.9666667,1.953,0.2788,-1.6742
-47.6,167,1.897,0.2788,-1.6182
-47.6,167.0333333,1.849,0.2788,-1.5702
-47.6,167.0666667,1.806,0.2788,-1.5272
-47.6,167.1,1.76,0.2788,-1.4812
-47.6,167.1333333,1.724,0.2788,-1.4452
-47.6,167.1666667,1.683,0.2788,-1.4042
-47.6,167.2,1.643,0.2788,-1.3642
-47.6,167.2333333,1.596,0.2787,-1.3173
-47.6,167.2666667,1.556,0.2787,-1.2773
-47.6,167.3,1.508,0.2787,-1.2293
-47.6,167.3333333,1.461,0.2787,-1.1823
-47.6,167.3666667,1.415,0.2786,-1.1364
-47.6,167.4,1.372,0.2786,-1.0934
-47.6,167.4333333,1.333,0.2785,-1.0545
-47.6,167.4666667,1.307,0.2785,-1.0285
-47.6,167.5,1.288,0.2784,-1.0096
-47.6,167.5333333,1.286,0.2784,-1.0076
-47.6,167.5666667,1.29,0.2783,-1.0117
-47.6,167.6,1.307,0.2782,-1.0288
-47.6,167.6333333,1.33,0.2781,-1.0519
-47.6,167.6666667,1.356,0.278,-1.078
-47.6,167.7,1.387,0.2779,-1.1091
-47.6,167.7333333,1.417,0.2778,-1.1392
-47.6,167.7666667,1.447,0.2777,-1.1693
-47.6,167.8,1.48,0.2775,-1.2025
-47.6,167.8333333,1.516,0.2774,-1.2386
-47.6,167.8666667,1.556,0.2772,-1.2788
-47.6,167.9,1.599,0.277,-1.322
-47.6,167.9333333,1.644,0.2768,-1.3672
-47.6,167.9666667,1.685,0.2766,-1.4084
-47.6,168,1.724,0.2763,-1.4477
-47.6,168.0333333,1.759,0.276,-1.483
-47.6,168.0666667,1.793,0.2758,-1.5172
-47.6,168.1,1.825,0.2755,-1.5495
-47.6,168.1333333,1.865,0.2751,-1.5899
-47.6,168.1666667,1.905,0.2748,-1.6302
-47.6,168.2,1.947,0.2744,-1.6726
-47.6,168.2333333,1.986,0.2741,-1.7119
-47.6,168.2666667,2.023,0.2737,-1.7493
-47.6,168.3,2.054,0.2733,-1.7807
-47.6,168.3333333,2.083,0.2728,-1.8102
-47.6,168.3666667,2.108,0.2724,-1.8356
-47.6,168.4,2.131,0.272,-1.859
-47.6,168.4333333,2.156,0.2715,-1.8845
-47.6,168.4666667,2.183,0.2711,-1.9119
-47.6,168.5,2.214,0.2706,-1.9434
-47.6,168.5333333,2.249,0.2701,-1.9789
-47.6,168.5666667,2.287,0.2697,-2.0173
-47.6,168.6,2.328,0.2692,-2.0588
-47.6,168.6333333,2.372,0.2687,-2.1033
-47.6,168.6666667,2.415,0.2683,-2.1467
-47.6,168.7,2.456,0.2678,-2.1882
-47.6,168.7333333,2.497,0.2674,-2.2296
-47.6,168.7666667,2.538,0.267,-2.271
-47.6,168.8,2.582,0.2666,-2.3154
-47.6,168.8333333,2.63,0.2662,-2.3638
-47.6,168.8666667,2.683,0.2658,-2.4172
-47.6,168.9,2.741,0.2654,-2.4756
-47.6,168.9333333,2.801,0.265,-2.536
-47.6,168.9666667,2.869,0.2647,-2.6043
-47.6,169,2.936,0.2643,-2.6717
-47.6,169.0333333,2.999,0.264,-2.735
-47.6,169.0666667,3.056,0.2637,-2.7923
-47.6,169.1,3.1,0.2635,-2.8365
-47.6,169.1333333,3.138,0.2632,-2.8748
-47.6,169.1666667,3.167,0.2629,-2.9041
-47.6,169.2,3.18,0.2627,-2.9173
-47.6,169.2333333,3.188,0.2625,-2.9255
-47.6,169.2666667,3.185,0.2623,-2.9227
-47.6,169.3,3.178,0.2621,-2.9159
-47.6,169.3333333,3.164,0.2619,-2.9021
-47.6,169.3666667,3.147,0.2617,-2.8853
-47.6,169.4,3.128,0.2616,-2.8664
-47.6,169.4333333,3.11,0.2614,-2.8486
-47.6,169.4666667,3.094,0.2613,-2.8327
-47.6,169.5,3.08,0.2611,-2.8189
-47.6,169.5333333,3.072,0.261,-2.811
-47.6,169.5666667,3.063,0.2609,-2.8021
-47.6,169.6,3.062,0.2608,-2.8012
-47.6,169.6333333,3.062,0.2607,-2.8013
-47.6,169.6666667,3.068,0.2607,-2.8073
-47.6,169.7,3.082,0.2606,-2.8214
-47.6,169.7333333,3.104,0.2605,-2.8435
-47.6,169.7666667,3.129,0.2605,-2.8685
-47.6,169.8,3.158,0.2604,-2.8976
-47.6,169.8333333,3.19,0.2603,-2.9297
-47.6,169.8666667,3.224,0.2603,-2.9637
-47.6,169.9,3.258,0.2602,-2.9978
-47.6,169.9333333,3.293,0.2602,-3.0328
-47.6,169.9666667,3.327,0.2601,-3.0669
-47.6,170,3.364,0.2601,-3.1039
-47.6,170.0333333,3.405,0.2601,-3.1449
-47.6,170.0666667,3.45,0.2601,-3.1899
-47.6,170.1,3.494,0.26,-3.234
-47.6,170.1333333,3.543,0.26,-3.283
-47.6,170.1666667,3.59,0.2997,-3.2903
-47.6,170.2,3.631,0.2997,-3.3313
-47.56666667,166.8666667,2.194,0.2788,-1.9152
-47.56666667,166.9,2.078,0.2788,-1.7992
-47.56666667,166.9333333,1.996,0.2788,-1.7172
-47.56666667,166.9666667,1.906,0.2788,-1.6272
-47.56666667,167,1.838,0.2788,-1.5592
-47.56666667,167.0333333,1.774,0.2788,-1.4952
-47.56666667,167.0666667,1.716,0.2788,-1.4372
-47.56666667,167.1,1.668,0.2788,-1.3892
-47.56666667,167.1333333,1.612,0.2788,-1.3332
-47.56666667,167.1666667,1.564,0.2788,-1.2852
-47.56666667,167.2,1.517,0.2788,-1.2382
-47.56666667,167.2333333,1.466,0.2787,-1.1873
-47.56666667,167.2666667,1.42,0.2787,-1.1413
-47.56666667,167.3,1.37,0.2787,-1.0913
