Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.43333333,169.7,2.392,0.2884,-2.1036
-47.43333333,169.7333333,2.425,0.2887,-2.1363
-47.43333333,169.7666667,2.458,0.289,-2.169
-47.43333333,169.8,2.496,0.2892,-2.2068
-47.43333333,169.8333333,2.536,0.2893,-2.2467
-47.43333333,169.8666667,2.579,0.2537,-2.3253
-47.43333333,169.9,2.625,0.2537,-2.3713
-47.43333333,169.9333333,2.672,0.2537,-2.4183
-47.43333333,169.9666667,2.721,0.2537,-2.4673
-47.43333333,170,2.769,0.2537,-2.5153
-47.43333333,170.0333333,2.815,0.2537,-2.5613
-47.43333333,170.0666667,2.857,0.2537,-2.6033
-47.43333333,170.1,2.899,0.2537,-2.6453
-47.43333333,170.1333333,2.937,0.2537,-2.6833
-47.43333333,170.1666667,2.974,0.2537,-2.7203
-47.43333333,170.2,3.009,0.2537,-2.7553
-47.43333333,170.2333333,3.041,0.2537,-2.7873
-47.43333333,170.2666667,3.069,0.2537,-2.8153
-47.43333333,170.3,3.093,0.2537,-2.8393
-47.43333333,170.3333333,3.114,0.2537,-2.8603
-47.43333333,170.3666667,3.133,0.2537,-2.8793
-47.43333333,170.4,3.152,0.2537,-2.8983
-47.43333333,170.4333333,3.172,0.2537,-2.9183
-47.43333333,170.4666667,3.194,0.2537,-2.9403
-47.43333333,170.5,3.216,0.2537,-2.9623
-47.43333333,170.5333333,3.239,0.2537,-2.9853
-47.43333333,170.5666667,3.263,0.2537,-3.0093
-47.43333333,170.6,3.286,0.2537,-3.0323
-47.43333333,170.6333333,3.309,0.2537,-3.0553
-47.43333333,170.6666667,3.33,0.2537,-3.0763
-47.43333333,170.7,3.352,0.2537,-3.0983
-47.43333333,170.7333333,3.372,0.2537,-3.1183
-47.43333333,170.7666667,3.391,0.2537,-3.1373
-47.43333333,170.8,3.41,0.2537,-3.1563
-47.43333333,170.8333333,3.427,0.2537,-3.1733
-47.43333333,170.8666667,3.441,0.2537,-3.1873
-47.43333333,170.9,3.451,0.2537,-3.1973
-47.43333333,170.9333333,3.459,0.2537,-3.2053
-47.43333333,170.9666667,3.464,0.2537,-3.2103
-47.43333333,171,3.469,0.2537,-3.2153
-47.43333333,171.0333333,3.473,0.2537,-3.2193
-47.43333333,171.0666667,3.478,0.2537,-3.2243
-47.43333333,171.1,3.481,0.2537,-3.2273
-47.43333333,171.1333333,3.484,0.2537,-3.2303
-47.43333333,171.1666667,3.487,0.2537,-3.2333
-47.4,166.3333333,4.569,0.2537,-4.3153
-47.4,166.3666667,4.454,0.2537,-4.2003
-47.4,166.4,4.328,0.2537,-4.0743
-47.4,166.4333333,4.188,0.2537,-3.9343
-47.4,166.4666667,4.039,0.2537,-3.7853
-47.4,166.5,3.885,0.2537,-3.6313
-47.4,166.5333333,3.731,0.2537,-3.4773
-47.4,166.5666667,3.586,0.2537,-3.3323
-47.4,166.6,3.448,0.2537,-3.1943
-47.4,166.6333333,3.313,0.2537,-3.0593
-47.4,166.6666667,3.186,0.2537,-2.9323
-47.4,166.7,3.059,0.2537,-2.8053
-47.4,166.7333333,2.927,0.2537,-2.6733
-47.4,166.7666667,2.786,0.2537,-2.5323
-47.4,166.8,2.638,0.2537,-2.3843
-47.4,166.8333333,2.478,0.2537,-2.2243
-47.4,166.8666667,2.306,0.2537,-2.0523
-47.4,166.9,2.13,0.2405,-1.8895
-47.4,166.9333333,1.946,0.2406,-1.7054
-47.4,166.9666667,1.757,0.2406,-1.5164
-47.4,167,1.571,0.2407,-1.3303
-47.4,167.0333333,1.399,0.2408,-1.1582
-47.4,167.0666667,1.242,0.2409,-1.0011
-47.4,167.1,1.099,0.241,-0.858
-47.4,167.1333333,0.976,0.2412,-0.7348
-47.4,167.1666667,0.874,0.2414,-0.6326
-47.4,167.2,0.795,0.2416,-0.5534
-47.4,167.2333333,0.728,0.2418,-0.4862
-47.4,167.2666667,0.668,0.2421,-0.4259
-47.4,167.3,0.613,0.2424,-0.3706
-47.4,167.3333333,0.561,0.2427,-0.3183
-47.4,167.3666667,0.512,0.243,-0.269
-47.4,167.4,0.468,0.2433,-0.2247
-47.4,167.4333333,0.431,0.2437,-0.1873
-47.4,167.4666667,0.402,0.2441,-0.1579
-47.4,167.5,0.38,0.2445,-0.1355
-47.4,167.5333333,0.366,0.2449,-0.1211
-47.4,167.5666667,0.355,0.2454,-0.1096
-47.4,167.6,0.346,0.2458,-0.1002
-47.4,167.6333333,0.335,0.2463,-0.0887
-47.4,167.6666667,0.32,0.2468,-0.0732
-47.4,167.7,0.303,0.2473,-0.0557
-47.4,167.7333333,0.29,0.2479,-0.0421
-47.4,167.7666667,0.28,0.2484,-0.0316
-47.4,167.8,0.282,0.249,-0.033
-47.4,167.8333333,0.293,0.2496,-0.0434
-47.4,167.8666667,0.314,0.2502,-0.0638
-47.4,167.9,0.34,0.2508,-0.0892
-47.4,167.9333333,0.369,0.2514,-0.1176
-47.4,167.9666667,0.401,0.2521,-0.1489
-47.4,168,0.432,0.2528,-0.1792
-47.4,168.0333333,0.465,0.2534,-0.2116
-47.4,168.0666667,0.496,0.2541,-0.2419
-47.4,168.1,0.537,0.2548,-0.2822
-47.4,168.1333333,0.573,0.2556,-0.3174
-47.4,168.1666667,0.614,0.2563,-0.3577
-47.4,168.2,0.655,0.257,-0.398
-47.4,168.2333333,0.696,0.2578,-0.4382
-47.4,168.2666667,0.739,0.2585,-0.4805
-47.4,168.3,0.784,0.2593,-0.5247
-47.4,168.3333333,0.829,0.2601,-0.5689
