Lat,Long,Geoid2016,OTP64,OTP64_NZVD16
-37.3,175.4,-33.325,0.091,33.416
-37.3,175.4333333,-33.277,0.0909,33.3679
-37.3,175.4666667,-33.237,0.0909,33.3279
-37.3,175.5,-33.2,0.0908,33.2908
-37.3,175.5333333,-33.178,0.0907,33.2687
-37.3,175.5666667,-33.16,0.0906,33.2506
-37.3,175.6,-33.166,0.0906,33.2566
-37.3,175.6333333,-33.196,0.0905,33.2865
-37.3,175.6666667,-33.253,0.0905,33.3435
-37.3,175.7,-33.319,0.0904,33.4094
-37.3,175.7333333,-33.37,0.0904,33.4604
-37.3,175.7666667,-33.388,0.0904,33.4784
-37.3,175.8,-33.367,0.0903,33.4573
-37.3,175.8333333,-33.24,0.0903,33.3303
-37.3,175.8666667,-33.097,0.0903,33.1873
-37.3,175.9,-32.956,0.0903,33.0463
-37.3,175.9333333,-32.811,0.0903,32.9013
-37.3,175.9666667,-32.687,0.0903,32.7773
-37.26666667,171.7333333,-27.368,0.0773,27.4453
-37.26666667,171.7666667,-27.376,0.0773,27.4533
-37.26666667,171.8,-27.385,0.0773,27.4623
-37.26666667,171.8333333,-27.396,0.0773,27.4733
-37.26666667,171.8666667,-27.406,0.0773,27.4833
-37.26666667,171.9,-27.421,0.0773,27.4983
-37.26666667,171.9333333,-27.432,0.0773,27.5093
-37.26666667,171.9666667,-27.446,0.0773,27.5233
-37.26666667,172,-27.462,0.0773,27.5393
-37.26666667,172.0333333,-27.478,0.0773,27.5553
-37.26666667,172.0666667,-27.496,0.0773,27.5733
-37.26666667,172.1,-27.515,0.0773,27.5923
-37.26666667,172.1333333,-27.534,0.0773,27.6113
-37.26666667,172.1666667,-27.555,0.0773,27.6323
-37.26666667,172.2,-27.58,0.0773,27.6573
-37.26666667,172.2333333,-27.607,0.0773,27.6843
-37.26666667,172.2666667,-27.638,0.0773,27.7153
-37.26666667,172.3,-27.675,0.0773,27.7523
-37.26666667,172.3333333,-27.716,0.0773,27.7933
-37.26666667,172.3666667,-27.76,0.0773,27.8373
-37.26666667,172.4,-27.812,0.0773,27.8893
-37.26666667,172.4333333,-27.86,0.0773,27.9373
-37.26666667,172.4666667,-27.907,0.0773,27.9843
-37.26666667,172.5,-27.952,0.0773,28.0293
-37.26666667,172.5333333,-27.995,0.0773,28.0723
-37.26666667,172.5666667,-28.04,0.0773,28.1173
-37.26666667,172.6,-28.09,0.0773,28.1673
-37.26666667,172.6333333,-28.14,0.0773,28.2173
-37.26666667,172.6666667,-28.195,0.0773,28.2723
-37.26666667,172.7,-28.248,0.0773,28.3253
-37.26666667,172.7333333,-28.299,0.0773,28.3763
-37.26666667,172.7666667,-28.347,0.0773,28.4243
-37.26666667,172.8,-28.393,0.0773,28.4703
-37.26666667,172.8333333,-28.44,0.0773,28.5173
-37.26666667,172.8666667,-28.486,0.0773,28.5633
-37.26666667,172.9,-28.531,0.0773,28.6083
-37.26666667,172.9333333,-28.577,0.0773,28.6543
-37.26666667,172.9666667,-28.626,0.0773,28.7033
-37.26666667,173,-28.675,0.0773,28.7523
-37.26666667,173.0333333,-28.728,0.0773,28.8053
-37.26666667,173.0666667,-28.785,0.0847,28.8697
-37.26666667,173.1,-28.843,0.0848,28.9278
-37.26666667,173.1333333,-28.903,0.085,28.988
-37.26666667,173.1666667,-28.959,0.0852,29.0442
-37.26666667,173.2,-29.009,0.0855,29.0945
-37.26666667,173.2333333,-29.053,0.0858,29.1388
-37.26666667,173.2666667,-29.092,0.0862,29.1782
-37.26666667,173.3,-29.132,0.0865,29.2185
-37.26666667,173.3333333,-29.177,0.0869,29.2639
-37.26666667,173.3666667,-29.229,0.0873,29.3163
-37.26666667,173.4,-29.293,0.0877,29.3807
-37.26666667,173.4333333,-29.369,0.088,29.457
-37.26666667,173.4666667,-29.45,0.0884,29.5384
-37.26666667,173.5,-29.537,0.0888,29.6258
-37.26666667,173.5333333,-29.624,0.0892,29.7132
-37.26666667,173.5666667,-29.704,0.0895,29.7935
-37.26666667,173.6,-29.776,0.0899,29.8659
-37.26666667,173.6333333,-29.843,0.0903,29.9333
-37.26666667,173.6666667,-29.908,0.0906,29.9986
-37.26666667,173.7,-29.982,0.0909,30.0729
-37.26666667,173.7333333,-30.066,0.0912,30.1572
-37.26666667,173.7666667,-30.161,0.0916,30.2526
-37.26666667,173.8,-30.264,0.0918,30.3558
-37.26666667,173.8333333,-30.374,0.0921,30.4661
-37.26666667,173.8666667,-30.494,0.0924,30.5864
-37.26666667,173.9,-30.621,0.0926,30.7136
-37.26666667,173.9333333,-30.765,0.0928,30.8578
-37.26666667,173.9666667,-30.924,0.093,31.017
-37.26666667,174,-31.097,0.0932,31.1902
-37.26666667,174.0333333,-31.281,0.0934,31.3744
-37.26666667,174.0666667,-31.46,0.0935,31.5535
-37.26666667,174.1,-31.631,0.0936,31.7246
-37.26666667,174.1333333,-31.762,0.0937,31.8557
-37.26666667,174.1666667,-31.854,0.0938,31.9478
-37.26666667,174.2,-31.896,0.0939,31.9899
-37.26666667,174.2333333,-31.912,0.094,32.006
-37.26666667,174.2666667,-31.923,0.094,32.017
-37.26666667,174.3,-31.93,0.094,32.024
-37.26666667,174.3333333,-31.948,0.094,32.042
-37.26666667,174.3666667,-31.975,0.094,32.069
-37.26666667,174.4,-32.008,0.094,32.102
-37.26666667,174.4333333,-32.05,0.094,32.144
-37.26666667,174.4666667,-32.103,0.0939,32.1969
-37.26666667,174.5,-32.16,0.0939,32.2539
-37.26666667,174.5333333,-32.218,0.0938,32.3118
-37.26666667,174.5666667,-32.275,0.0937,32.3687
-37.26666667,174.6,-32.327,0.0936,32.4206
-37.26666667,174.6333333,-32.386,0.0935,32.4795
-37.26666667,174.6666667,-32.454,0.0934,32.5474
-37.26666667,174.7,-32.499,0.0933,32.5923
-37.26666667,174.7333333,-32.556,0.0932,32.6492
-37.26666667,174.7666667,-32.622,0.0931,32.7151
-37.26666667,174.8,-32.693,0.093,32.786
-37.26666667,174.8333333,-32.772,0.0929,32.8649
-37.26666667,174.8666667,-32.858,0.0928,32.9508
-37.26666667,174.9,-32.948,0.0927,33.0407
-37.26666667,174.9333333,-33.028,0.0925,33.1205
-37.26666667,174.9666667,-33.113,0.0924,33.2054
-37.26666667,175,-33.178,0.0923,33.2703
-37.26666667,175.0333333,-33.218,0.0922,33.3102
-37.26666667,175.0666667,-33.249,0.0921,33.3411
-37.26666667,175.1,-33.279,0.0919,33.3709
-37.26666667,175.1333333,-33.315,0.0918,33.4068
-37.26666667,175.1666667,-33.36,0.0917,33.4517
-37.26666667,175.2,-33.413,0.0916,33.5046
-37.26666667,175.2333333,-33.465,0.0915,33.5565
-37.26666667,175.2666667,-33.501,0.0914,33.5924
