Lat,Long,Geoid2016,AUK46,AUCK46_NZVD2016
-38.66666667,176.2,-26.715,0.3002,27.0152
-38.66666667,176.2333333,-26.733,0.3002,27.0332
-38.66666667,176.2666667,-26.758,0.3002,27.0582
-38.66666667,176.3,-26.794,0.3002,27.0942
-38.66666667,176.3333333,-26.779,0.3002,27.0792
-38.66666667,176.3666667,-26.709,0.3002,27.0092
-38.66666667,176.4,-26.608,0.3002,26.9082
-38.66666667,176.4333333,-26.487,0.3002,26.7872
-38.66666667,176.4666667,-26.356,0.3002,26.6562
-38.66666667,176.5,-26.227,0.3002,26.5272
-38.66666667,176.5333333,-26.096,0.3002,26.3962
-38.66666667,176.5666667,-25.972,0.3002,26.2722
-38.66666667,176.6,-25.852,0.3002,26.1522
-38.66666667,176.6333333,-25.723,0.3002,26.0232
-38.66666667,176.6666667,-25.543,0.3002,25.8432
-38.66666667,176.7,-25.386,0.3002,25.6862
-38.66666667,176.7333333,-25.274,0.3002,25.5742
-38.66666667,176.7666667,-25.2,0.3002,25.5002
-38.66666667,176.8,-25.103,0.3002,25.4032
-38.66666667,176.8333333,-24.988,0.3002,25.2882
-38.66666667,176.8666667,-24.838,0.3002,25.1382
-38.66666667,176.9,-24.707,0.3002,25.0072
-38.66666667,176.9333333,-24.581,0.3002,24.8812
-38.66666667,176.9666667,-24.451,0.3002,24.7512
-38.66666667,177,-24.388,0.3001,24.6881
-38.66666667,177.0333333,-24.24,0.3001,24.5401
-38.66666667,177.0666667,-24.123,0.3001,24.4231
-38.66666667,177.1,-24.063,0.3001,24.3631
-38.66666667,177.1333333,-23.943,0.3001,24.2431
-38.66666667,177.1666667,-23.763,0.3001,24.0631
-38.66666667,177.2,-23.573,0.3001,23.8731
-38.66666667,177.2333333,-23.382,0.3001,23.6821
-38.66666667,177.2666667,-23.211,0.3001,23.5111
-38.66666667,177.3,-23.004,0.3001,23.3041
-38.66666667,177.3333333,-22.854,0.3001,23.1541
-38.66666667,177.3666667,-22.77,0.3001,23.0701
-38.66666667,177.4,-22.683,0.3001,22.9831
-38.66666667,177.4333333,-22.545,0.2919,22.8369
-38.63333333,172.8,-24.881,0.2919,25.1729
-38.63333333,172.8333333,-24.927,0.2919,25.2189
-38.63333333,172.8666667,-24.968,0.2919,25.2599
