Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.93333333,179.0666667,-19.341,0.3434,19.6844
-39.93333333,179.1,-19.446,0.3432,19.7892
-39.93333333,179.1333333,-19.559,0.3431,19.9021
-39.93333333,179.1666667,-19.674,0.343,20.017
-39.93333333,179.2,-19.784,0.3429,20.1269
-39.93333333,179.2333333,-19.886,0.3428,20.2288
-39.93333333,179.2666667,-19.976,0.3428,20.3188
-39.93333333,179.3,-20.057,0.3434,20.4004
-39.93333333,179.3333333,-20.129,0.3434,20.4724
-39.93333333,179.3666667,-20.192,0.3434,20.5354
-39.93333333,179.4,-20.25,0.3434,20.5934
-39.93333333,179.4333333,-20.302,0.3434,20.6454
-39.93333333,179.4666667,-20.348,0.3434,20.6914
-39.93333333,179.5,-20.386,0.3434,20.7294
-39.93333333,179.5333333,-20.421,0.3434,20.7644
-39.93333333,179.5666667,-20.458,0.3434,20.8014
-39.93333333,179.6,-20.496,0.3434,20.8394
-39.93333333,179.6333333,-20.531,0.3434,20.8744
-39.93333333,179.6666667,-20.572,0.3434,20.9154
-39.93333333,179.7,-20.614,0.3434,20.9574
-39.93333333,179.7333333,-20.656,0.3434,20.9994
-39.93333333,179.7666667,-20.695,0.3434,21.0384
-39.93333333,179.8,-20.734,0.3434,21.0774
-39.93333333,179.8333333,-20.767,0.3434,21.1104
-39.9,175.6666667,-15.291,0.3434,15.6344
-39.9,175.7,-15.474,0.3434,15.8174
-39.9,175.7333333,-15.689,0.3434,16.0324
-39.9,175.7666667,-15.881,0.3434,16.2244
-39.9,175.8,-16.107,0.3434,16.4504
-39.9,175.8333333,-16.336,0.3434,16.6794
-39.9,175.8666667,-16.566,0.3434,16.9094
-39.9,175.9,-16.808,0.3434,17.1514
-39.9,175.9333333,-17.059,0.3434,17.4024
-39.9,175.9666667,-17.331,0.3434,17.6744
-39.9,176,-17.683,0.3434,18.0264
-39.9,176.0333333,-18.047,0.3434,18.3904
-39.9,176.0666667,-18.215,0.3434,18.5584
-39.9,176.1,-18.359,0.3434,18.7024
-39.9,176.1333333,-18.332,0.3434,18.6754
-39.9,176.1666667,-18.201,0.3434,18.5444
-39.9,176.2,-18.096,0.3434,18.4394
-39.9,176.2333333,-18.011,0.3434,18.3544
-39.9,176.2666667,-17.932,0.3434,18.2754
-39.9,176.3,-17.905,0.3434,18.2484
-39.9,176.3333333,-17.899,0.3434,18.2424
-39.9,176.3666667,-17.918,0.3434,18.2614
-39.9,176.4,-17.944,0.3536,18.2976
-39.9,176.4333333,-18.007,0.3536,18.3606
-39.9,176.4666667,-18.074,0.3536,18.4276
-39.9,176.5,-18.167,0.3536,18.5206
-39.9,176.5333333,-18.274,0.3536,18.6276
-39.9,176.5666667,-18.378,0.3536,18.7316
