Lat,Long,Geoid2016,LTN37,LTN37_NZVD2016
-45.96666667,170.9666667,-3.499,0.3468,3.8458
-45.96666667,171,-3.328,0.3473,3.6753
-45.96666667,171.0333333,-3.151,0.3478,3.4988
-45.96666667,171.0666667,-2.975,0.3482,3.3232
-45.96666667,171.1,-2.801,0.3487,3.1497
-45.96666667,171.1333333,-2.637,0.3492,2.9862
-45.96666667,171.1666667,-2.478,0.3496,2.8276
-45.96666667,171.2,-2.337,0.35,2.687
-45.96666667,171.2333333,-2.205,0.3504,2.5554
-45.96666667,171.2666667,-2.081,0.3508,2.4318
-45.96666667,171.3,-1.968,0.3512,2.3192
-45.96666667,171.3333333,-1.864,0.3516,2.2156
-45.96666667,171.3666667,-1.773,0.3519,2.1249
-45.96666667,171.4,-1.692,0.3522,2.0442
-45.96666667,171.4333333,-1.621,0.3525,1.9735
-45.96666667,171.4666667,-1.561,0.3528,1.9138
-45.96666667,171.5,-1.507,0.3531,1.8601
-45.96666667,171.5333333,-1.462,0.3534,1.8154
-45.96666667,171.5666667,-1.419,0.3536,1.7726
-45.96666667,171.6,-1.378,0.3538,1.7318
-45.96666667,171.6333333,-1.336,0.354,1.69
-45.96666667,171.6666667,-1.295,0.3543,1.6493
-45.96666667,171.7,-1.254,0.3544,1.6084
-45.96666667,171.7333333,-1.22,0.3546,1.5746
-45.96666667,171.7666667,-1.19,0.3548,1.5448
-45.96666667,171.8,-1.163,0.355,1.518
-45.96666667,171.8333333,-1.14,0.3551,1.4951
-45.96666667,171.8666667,-1.12,0.3552,1.4752
-45.96666667,171.9,-1.103,0.3554,1.4584
-45.96666667,171.9333333,-1.086,0.3555,1.4415
-45.96666667,171.9666667,-1.072,0.3556,1.4276
-45.96666667,172,-1.06,0.3557,1.4157
-45.96666667,172.0333333,-1.05,0.3558,1.4058
-45.96666667,172.0666667,-1.038,0.3559,1.3939
-45.96666667,172.1,-1.024,0.356,1.38
-45.96666667,172.1333333,-1.012,0.3561,1.3681
-45.96666667,172.1666667,-1.001,0.3562,1.3572
-45.96666667,172.2,-0.995,0.3562,1.3512
-45.96666667,172.2333333,-0.992,0.3563,1.3483
-45.96666667,172.2666667,-0.991,0.3563,1.3473
-45.96666667,172.3,-0.991,0.3564,1.3474
-45.96666667,172.3333333,-0.99,0.3564,1.3464
-45.96666667,172.3666667,-0.989,0.3565,1.3455
-45.96666667,172.4,-0.989,0.3565,1.3455
-45.96666667,172.4333333,-0.992,0.3565,1.3485
-45.96666667,172.4666667,-0.996,0.3565,1.3525
-45.96666667,172.5,-1.003,0.3565,1.3595
-45.96666667,172.5333333,-1.011,0.3565,1.3675
-45.96666667,172.5666667,-1.017,0.3404,1.3574
-45.96666667,172.6,-1.02,0.3404,1.3604
-45.96666667,172.6333333,-1.021,0.3404,1.3614
-45.96666667,172.6666667,-1.021,0.3404,1.3614
-45.96666667,172.7,-1.017,0.3404,1.3574
-45.96666667,172.7333333,-1.014,0.3404,1.3544
-45.96666667,172.7666667,-1.014,0.3404,1.3544
-45.96666667,172.8,-1.015,0.3404,1.3554
-45.96666667,172.8333333,-1.014,0.3404,1.3544
-45.96666667,172.8666667,-1.01,0.3404,1.3504
-45.96666667,172.9,-1.003,0.3404,1.3434
-45.96666667,172.9333333,-0.991,0.3404,1.3314
-45.96666667,172.9666667,-0.979,0.3404,1.3194
-45.96666667,173,-0.97,0.3404,1.3104
-45.96666667,173.0333333,-0.967,0.3404,1.3074
-45.96666667,173.0666667,-0.967,0.3404,1.3074
-45.96666667,173.1,-0.97,0.3404,1.3104
-45.96666667,173.1333333,-0.975,0.3404,1.3154
-45.96666667,173.1666667,-0.978,0.3404,1.3184
-45.96666667,173.2,-0.979,0.3404,1.3194
-45.96666667,173.2333333,-0.978,0.3404,1.3184
-45.96666667,173.2666667,-0.976,0.3404,1.3164
-45.96666667,173.3,-0.973,0.3404,1.3134
-45.96666667,173.3333333,-0.971,0.3404,1.3114
-45.96666667,173.3666667,-0.975,0.3404,1.3154
-45.96666667,173.4,-0.982,0.3404,1.3224
-45.96666667,173.4333333,-0.99,0.3404,1.3304
-45.96666667,173.4666667,-0.999,0.3404,1.3394
-45.96666667,173.5,-1.008,0.3404,1.3484
-45.96666667,173.5333333,-1.019,0.3404,1.3594
-45.96666667,173.5666667,-1.033,0.3404,1.3734
-45.96666667,173.6,-1.046,0.3404,1.3864
-45.96666667,173.6333333,-1.061,0.3404,1.4014
-45.96666667,173.6666667,-1.075,0.3404,1.4154
-45.96666667,173.7,-1.086,0.3404,1.4264
-45.96666667,173.7333333,-1.099,0.3404,1.4394
-45.96666667,173.7666667,-1.113,0.3404,1.4534
-45.96666667,173.8,-1.125,0.3404,1.4654
-45.96666667,173.8333333,-1.141,0.3404,1.4814
-45.96666667,173.8666667,-1.156,0.3404,1.4964
-45.96666667,173.9,-1.167,0.3404,1.5074
-45.96666667,173.9333333,-1.174,0.3404,1.5144
-45.96666667,173.9666667,-1.181,0.3404,1.5214
-45.96666667,174,-1.189,0.3404,1.5294
-45.96666667,174.0333333,-1.195,0.3404,1.5354
-45.96666667,174.0666667,-1.201,0.3404,1.5414
-45.96666667,174.1,-1.209,0.3404,1.5494
-45.96666667,174.1333333,-1.22,0.3404,1.5604
-45.96666667,174.1666667,-1.228,0.3404,1.5684
-45.96666667,174.2,-1.237,0.3404,1.5774
-45.96666667,174.2333333,-1.244,0.3404,1.5844
