Lat,Long,Geoid2016,NPR62,NPR62_NZVD2016
-41.36666667,177.7666667,-14.548,0.2026,14.7506
-41.36666667,177.8,-14.582,0.2026,14.7846
-41.36666667,177.8333333,-14.62,0.2026,14.8226
-41.36666667,177.8666667,-14.662,0.2026,14.8646
-41.36666667,177.9,-14.708,0.2026,14.9106
-41.36666667,177.9333333,-14.76,0.2026,14.9626
-41.36666667,177.9666667,-14.82,0.2026,15.0226
-41.36666667,178,-14.89,0.2026,15.0926
-41.36666667,178.0333333,-14.97,0.2026,15.1726
-41.36666667,178.0666667,-15.058,0.2026,15.2606
-41.36666667,178.1,-15.15,0.2026,15.3526
-41.36666667,178.1333333,-15.239,0.2026,15.4416
-41.36666667,178.1666667,-15.322,0.2026,15.5246
-41.36666667,178.2,-15.394,0.2026,15.5966
-41.36666667,178.2333333,-15.458,0.2026,15.6606
-41.36666667,178.2666667,-15.524,0.2026,15.7266
-41.36666667,178.3,-15.588,0.2026,15.7906
-41.36666667,178.3333333,-15.664,0.2026,15.8666
-41.36666667,178.3666667,-15.749,0.2026,15.9516
-41.36666667,178.4,-15.838,0.2026,16.0406
-41.36666667,178.4333333,-15.935,0.2026,16.1376
-41.36666667,178.4666667,-16.033,0.2026,16.2356
-41.36666667,178.5,-16.135,0.2026,16.3376
-41.36666667,178.5333333,-16.241,0.2026,16.4436
-41.36666667,178.5666667,-16.352,0.2026,16.5546
-41.36666667,178.6,-16.467,0.2026,16.6696
-41.36666667,178.6333333,-16.587,0.2026,16.7896
-41.36666667,178.6666667,-16.709,0.2026,16.9116
-41.36666667,178.7,-16.83,0.2026,17.0326
-41.36666667,178.7333333,-16.946,0.2026,17.1486
-41.36666667,178.7666667,-17.054,0.2026,17.2566
-41.36666667,178.8,-17.154,0.2026,17.3566
-41.36666667,178.8333333,-17.246,0.2026,17.4486
-41.36666667,178.8666667,-17.325,0.2026,17.5276
-41.36666667,178.9,-17.397,0.2026,17.5996
-41.36666667,178.9333333,-17.461,0.2026,17.6636
-41.36666667,178.9666667,-17.517,0.2026,17.7196
-41.36666667,179,-17.569,0.2026,17.7716
-41.36666667,179.0333333,-17.617,0.2026,17.8196
-41.36666667,179.0666667,-17.665,0.2026,17.8676
-41.36666667,179.1,-17.712,0.2026,17.9146
-41.36666667,179.1333333,-17.756,0.2026,17.9586
-41.36666667,179.1666667,-17.796,0.2026,17.9986
-41.36666667,179.2,-17.827,0.2026,18.0296
-41.36666667,179.2333333,-17.854,0.2026,18.0566
-41.36666667,179.2666667,-17.88,0.2026,18.0826
-41.33333333,174.4,-12.064,0.2367,12.3007
-41.33333333,174.4333333,-12.019,0.2368,12.2558
-41.33333333,174.4666667,-12.005,0.2368,12.2418
-41.33333333,174.5,-12.024,0.2368,12.2608
-41.33333333,174.5333333,-12.09,0.2368,12.3268
-41.33333333,174.5666667,-12.19,0.2368,12.4268
-41.33333333,174.6,-12.316,0.2368,12.5528
-41.33333333,174.6333333,-12.46,0.2369,12.6969
-41.33333333,174.6666667,-12.618,0.2369,12.8549
-41.33333333,174.7,-12.758,0.237,12.995
-41.33333333,174.7333333,-12.876,0.237,13.113
-41.33333333,174.7666667,-12.949,0.2371,13.1861
-41.33333333,174.8,-13.05,0.2371,13.2871
-41.33333333,174.8333333,-13.179,0.2372,13.4162
-41.33333333,174.8666667,-13.343,0.2373,13.5803
-41.33333333,174.9,-13.517,0.2374,13.7544
-41.33333333,174.9333333,-13.701,0.2374,13.9384
-41.33333333,174.9666667,-13.889,0.2375,14.1265
-41.33333333,175,-14.034,0.2376,14.2716
-41.33333333,175.0333333,-14.19,0.2377,14.4277
-41.33333333,175.0666667,-14.224,0.2378,14.4618
-41.33333333,175.1,-14.271,0.2379,14.5089
-41.33333333,175.1333333,-14.346,0.238,14.584
-41.33333333,175.1666667,-14.454,0.2382,14.6922
-41.33333333,175.2,-14.612,0.2383,14.8503
-41.33333333,175.2333333,-14.805,0.2384,15.0434
-41.33333333,175.2666667,-15.021,0.2385,15.2595
-41.33333333,175.3,-15.261,0.2387,15.4997
-41.33333333,175.3333333,-15.496,0.2388,15.7348
-41.33333333,175.3666667,-15.613,0.239,15.852
-41.33333333,175.4,-15.679,0.2391,15.9181
-41.33333333,175.4333333,-15.733,0.2393,15.9723
-41.33333333,175.4666667,-15.779,0.2394,16.0184
-41.33333333,175.5,-15.828,0.2396,16.0676
-41.33333333,175.5333333,-15.876,0.2397,16.1157
-41.33333333,175.5666667,-15.94,0.2399,16.1799
-41.33333333,175.6,-15.994,0.2401,16.2341
-41.33333333,175.6333333,-16.039,0.2402,16.2792
-41.33333333,175.6666667,-16.086,0.2404,16.3264
