Lat,Long,Geoid2016,STI77,STI77_NZVD2016
-48.06666667,169.6666667,4.76,0.2999,-4.4601
-48.06666667,169.7,4.775,0.2999,-4.4751
-48.06666667,169.7333333,4.793,0.2999,-4.4931
-48.06666667,169.7666667,4.815,0.2999,-4.5151
-48.06666667,169.8,4.842,0.2999,-4.5421
-48.06666667,169.8333333,4.873,0.2999,-4.5731
-48.06666667,169.8666667,4.909,0.2999,-4.6091
-48.06666667,169.9,4.945,0.2999,-4.6451
-48.06666667,169.9333333,4.98,0.2999,-4.6801
-48.06666667,169.9666667,5.013,0.2999,-4.7131
-48.06666667,170,5.045,0.2999,-4.7451
-48.06666667,170.0333333,5.079,0.2999,-4.7791
-48.06666667,170.0666667,5.118,0.2999,-4.8181
-48.06666667,170.1,5.16,0.2999,-4.8601
-48.06666667,170.1333333,5.208,0.2999,-4.9081
-48.03333333,166.3,4.448,0.2999,-4.1481
-48.03333333,166.3333333,4.283,0.2999,-3.9831
-48.03333333,166.3666667,4.108,0.2999,-3.8081
-48.03333333,166.4,3.932,0.2999,-3.6321
-48.03333333,166.4333333,3.766,0.2999,-3.4661
-48.03333333,166.4666667,3.614,0.2999,-3.3141
-48.03333333,166.5,3.48,0.2999,-3.1801
-48.03333333,166.5333333,3.372,0.2999,-3.0721
-48.03333333,166.5666667,3.284,0.2999,-2.9841
-48.03333333,166.6,3.212,0.2999,-2.9121
-48.03333333,166.6333333,3.156,0.2999,-2.8561
-48.03333333,166.6666667,3.112,0.2999,-2.8121
-48.03333333,166.7,3.078,0.2999,-2.7781
-48.03333333,166.7333333,3.046,0.2999,-2.7461
-48.03333333,166.7666667,3.013,0.2999,-2.7131
-48.03333333,166.8,2.978,0.2999,-2.6781
-48.03333333,166.8333333,2.941,0.2999,-2.6411
-48.03333333,166.8666667,2.907,0.2999,-2.6071
-48.03333333,166.9,2.875,0.2999,-2.5751
-48.03333333,166.9333333,2.854,0.2999,-2.5541
-48.03333333,166.9666667,2.839,0.2999,-2.5391
-48.03333333,167,2.84,0.2999,-2.5401
-48.03333333,167.0333333,2.852,0.2999,-2.5521
-48.03333333,167.0666667,2.864,0.2999,-2.5641
-48.03333333,167.1,2.885,0.2999,-2.5851
-48.03333333,167.1333333,2.91,0.2999,-2.6101
-48.03333333,167.1666667,2.939,0.2999,-2.6391
-48.03333333,167.2,2.972,0.2999,-2.6721
-48.03333333,167.2333333,3.005,0.2999,-2.7051
-48.03333333,167.2666667,3.04,0.2999,-2.7401
-48.03333333,167.3,3.074,0.2999,-2.7741
-48.03333333,167.3333333,3.102,0.2999,-2.8021
-48.03333333,167.3666667,3.12,0.2999,-2.8201
-48.03333333,167.4,3.129,0.2999,-2.8291
-48.03333333,167.4333333,3.131,0.2999,-2.8311
-48.03333333,167.4666667,3.124,0.2999,-2.8241
-48.03333333,167.5,3.113,0.2999,-2.8131
-48.03333333,167.5333333,3.104,0.2999,-2.8041
-48.03333333,167.5666667,3.099,0.2999,-2.7991
-48.03333333,167.6,3.098,0.2999,-2.7981
-48.03333333,167.6333333,3.104,0.2999,-2.8041
-48.03333333,167.6666667,3.116,0.2999,-2.8161
-48.03333333,167.7,3.136,0.2999,-2.8361
-48.03333333,167.7333333,3.162,0.2999,-2.8621
-48.03333333,167.7666667,3.195,0.2999,-2.8951
-48.03333333,167.8,3.235,0.2999,-2.9351
-48.03333333,167.8333333,3.282,0.2999,-2.9821
-48.03333333,167.8666667,3.332,0.2999,-3.0321
-48.03333333,167.9,3.387,0.2999,-3.0871
-48.03333333,167.9333333,3.439,0.2999,-3.1391
-48.03333333,167.9666667,3.487,0.2999,-3.1871
-48.03333333,168,3.533,0.2999,-3.2331
-48.03333333,168.0333333,3.576,0.2999,-3.2761
-48.03333333,168.0666667,3.617,0.2999,-3.3171
-48.03333333,168.1,3.654,0.2999,-3.3541
-48.03333333,168.1333333,3.693,0.2999,-3.3931
-48.03333333,168.1666667,3.731,0.2999,-3.4311
-48.03333333,168.2,3.767,0.2999,-3.4671
-48.03333333,168.2333333,3.802,0.2999,-3.5021
-48.03333333,168.2666667,3.837,0.2999,-3.5371
-48.03333333,168.3,3.865,0.2999,-3.5651
-48.03333333,168.3333333,3.895,0.2999,-3.5951
-48.03333333,168.3666667,3.928,0.2999,-3.6281
-48.03333333,168.4,3.961,0.2999,-3.6611
-48.03333333,168.4333333,4.003,0.2999,-3.7031
-48.03333333,168.4666667,4.051,0.2999,-3.7511
-48.03333333,168.5,4.103,0.2999,-3.8031
-48.03333333,168.5333333,4.16,0.2999,-3.8601
-48.03333333,168.5666667,4.22,0.2999,-3.9201
-48.03333333,168.6,4.282,0.2999,-3.9821
-48.03333333,168.6333333,4.345,0.2999,-4.0451
-48.03333333,168.6666667,4.41,0.2999,-4.1101
-48.03333333,168.7,4.469,0.2999,-4.1691
-48.03333333,168.7333333,4.522,0.2999,-4.2221
-48.03333333,168.7666667,4.571,0.2999,-4.2711
-48.03333333,168.8,4.609,0.2999,-4.3091
-48.03333333,168.8333333,4.636,0.2999,-4.3361
-48.03333333,168.8666667,4.656,0.2999,-4.3561
-48.03333333,168.9,4.669,0.2999,-4.3691
-48.03333333,168.9333333,4.684,0.2999,-4.3841
-48.03333333,168.9666667,4.693,0.2999,-4.3931
-48.03333333,169,4.701,0.2999,-4.4011
-48.03333333,169.0333333,4.707,0.2999,-4.4071
-48.03333333,169.0666667,4.714,0.2999,-4.4141
-48.03333333,169.1,4.718,0.2999,-4.4181
-48.03333333,169.1333333,4.724,0.2999,-4.4241
-48.03333333,169.1666667,4.727,0.2999,-4.4271
-48.03333333,169.2,4.728,0.2999,-4.4281
-48.03333333,169.2333333,4.723,0.2999,-4.4231
-48.03333333,169.2666667,4.712,0.2999,-4.4121
-48.03333333,169.3,4.697,0.2999,-4.3971
-48.03333333,169.3333333,4.68,0.2999,-4.3801
-48.03333333,169.3666667,4.662,0.2999,-4.3621
-48.03333333,169.4,4.649,0.2999,-4.3491
-48.03333333,169.4333333,4.639,0.2999,-4.3391
-48.03333333,169.4666667,4.633,0.2999,-4.3331
-48.03333333,169.5,4.631,0.2999,-4.3311
-48.03333333,169.5333333,4.634,0.2999,-4.3341
-48.03333333,169.5666667,4.637,0.2999,-4.3371
-48.03333333,169.6,4.643,0.2999,-4.3431
-48.03333333,169.6333333,4.65,0.2999,-4.3501
-48.03333333,169.6666667,4.661,0.2999,-4.3611
-48.03333333,169.7,4.673,0.2999,-4.3731
-48.03333333,169.7333333,4.69,0.2999,-4.3901
-48.03333333,169.7666667,4.712,0.2999,-4.4121
-48.03333333,169.8,4.738,0.2999,-4.4381
-48.03333333,169.8333333,4.769,0.2999,-4.4691
-48.03333333,169.8666667,4.805,0.2999,-4.5051
-48.03333333,169.9,4.841,0.2999,-4.5411
-48.03333333,169.9333333,4.875,0.2999,-4.5751
-48.03333333,169.9666667,4.908,0.2999,-4.6081
-48.03333333,170,4.941,0.2999,-4.6411
-48.03333333,170.0333333,4.976,0.2999,-4.6761
-48.03333333,170.0666667,5.015,0.2999,-4.7151
-48.03333333,170.1,5.059,0.2999,-4.7591
-48.03333333,170.1333333,5.107,0.2999,-4.8071
-48,166.3,4.362,0.2999,-4.0621
-48,166.3333333,4.197,0.2999,-3.8971
-48,166.3666667,4.026,0.2999,-3.7261
-48,166.4,3.857,0.2999,-3.5571
-48,166.4333333,3.695,0.2999,-3.3951
-48,166.4666667,3.547,0.2999,-3.2471
-48,166.5,3.417,0.2999,-3.1171
-48,166.5333333,3.311,0.2999,-3.0111
-48,166.5666667,3.223,0.2999,-2.9231
-48,166.6,3.151,0.2999,-2.8511
-48,166.6333333,3.096,0.2999,-2.7961
-48,166.6666667,3.052,0.2999,-2.7521
-48,166.7,3.019,0.2999,-2.7191
-48,166.7333333,2.989,0.2999,-2.6891
-48,166.7666667,2.957,0.2999,-2.6571
-48,166.8,2.923,0.2999,-2.6231
-48,166.8333333,2.883,0.2999,-2.5831
-48,166.8666667,2.843,0.2999,-2.5431
-48,166.9,2.806,0.2999,-2.5061
-48,166.9333333,2.776,0.2999,-2.4761
-48,166.9666667,2.754,0.2999,-2.4541
-48,167,2.741,0.2999,-2.4411
-48,167.0333333,2.74,0.2999,-2.4401
-48,167.0666667,2.746,0.2999,-2.4461
-48,167.1,2.759,0.2999,-2.4591
-48,167.1333333,2.778,0.2999,-2.4781
-48,167.1666667,2.802,0.2999,-2.5021
-48,167.2,2.833,0.2999,-2.5331
-48,167.2333333,2.868,0.2999,-2.5681
-48,167.2666667,2.906,0.2999,-2.6061
-48,167.3,2.944,0.2999,-2.6441
-48,167.3333333,2.978,0.2999,-2.6781
-48,167.3666667,3.003,0.2999,-2.7031
-48,167.4,3.018,0.2999,-2.7181
-48,167.4333333,3.022,0.2999,-2.7221
-48,167.4666667,3.017,0.2999,-2.7171
-48,167.5,3.006,0.2999,-2.7061
-48,167.5333333,2.993,0.2999,-2.6931
-48,167.5666667,2.983,0.2999,-2.6831
-48,167.6,2.981,0.2999,-2.6811
-48,167.6333333,2.984,0.2999,-2.6841
-48,167.6666667,2.996,0.2999,-2.6961
-48,167.7,3.018,0.2999,-2.7181
-48,167.7333333,3.048,0.2999,-2.7481
-48,167.7666667,3.085,0.2999,-2.7851
-48,167.8,3.131,0.2999,-2.8311
-48,167.8333333,3.185,0.2999,-2.8851
-48,167.8666667,3.24,0.2999,-2.9401
-48,167.9,3.297,0.2999,-2.9971
-48,167.9333333,3.351,0.2999,-3.0511
-48,167.9666667,3.403,0.2999,-3.1031
-48,168,3.451,0.2999,-3.1511
-48,168.0333333,3.495,0.2999,-3.1951
-48,168.0666667,3.537,0.2999,-3.2371
-48,168.1,3.576,0.2999,-3.2761
-48,168.1333333,3.614,0.2999,-3.3141
-48,168.1666667,3.651,0.2999,-3.3511
-48,168.2,3.686,0.2999,-3.3861
-48,168.2333333,3.718,0.2999,-3.4181
-48,168.2666667,3.747,0.2999,-3.4471
-48,168.3,3.772,0.2999,-3.4721
-48,168.3333333,3.795,0.2999,-3.4951
-48,168.3666667,3.82,0.2999,-3.5201
-48,168.4,3.847,0.2999,-3.5471
-48,168.4333333,3.881,0.2999,-3.5811
-48,168.4666667,3.921,0.2999,-3.6211
-48,168.5,3.967,0.2999,-3.6671
-48,168.5333333,4.019,0.2999,-3.7191
-48,168.5666667,4.077,0.2999,-3.7771
-48,168.6,4.139,0.2999,-3.8391
-48,168.6333333,4.205,0.2999,-3.9051
-48,168.6666667,4.272,0.2999,-3.9721
-48,168.7,4.337,0.2999,-4.0371
-48,168.7333333,4.396,0.2999,-4.0961
-48,168.7666667,4.45,0.2999,-4.1501
-48,168.8,4.495,0.2999,-4.1951
-48,168.8333333,4.53,0.2999,-4.2301
-48,168.8666667,4.557,0.2999,-4.2571
-48,168.9,4.579,0.2999,-4.2791
-48,168.9333333,4.597,0.2999,-4.2971
-48,168.9666667,4.613,0.2999,-4.3131
-48,169,4.626,0.2999,-4.3261
-48,169.0333333,4.637,0.2999,-4.3371
-48,169.0666667,4.645,0.2999,-4.3451
-48,169.1,4.652,0.2999,-4.3521
-48,169.1333333,4.656,0.2999,-4.3561
-48,169.1666667,4.66,0.2999,-4.3601
-48,169.2,4.659,0.2999,-4.3591
-48,169.2333333,4.652,0.2999,-4.3521
-48,169.2666667,4.641,0.2999,-4.3411
-48,169.3,4.626,0.2999,-4.3261
-48,169.3333333,4.608,0.2999,-4.3081
-48,169.3666667,4.59,0.2999,-4.2901
-48,169.4,4.574,0.2999,-4.2741
-48,169.4333333,4.561,0.2999,-4.2611
-48,169.4666667,4.551,0.2999,-4.2511
-48,169.5,4.545,0.2999,-4.2451
-48,169.5333333,4.541,0.2999,-4.2411
-48,169.5666667,4.542,0.2999,-4.2421
-48,169.6,4.544,0.2999,-4.2441
-48,169.6333333,4.549,0.2999,-4.2491
-48,169.6666667,4.557,0.2999,-4.2571
-48,169.7,4.569,0.2999,-4.2691
-48,169.7333333,4.585,0.2999,-4.2851
-48,169.7666667,4.606,0.2999,-4.3061
-48,169.8,4.631,0.2999,-4.3311
-48,169.8333333,4.662,0.2999,-4.3621
-48,169.8666667,4.697,0.2999,-4.3971
-48,169.9,4.733,0.2999,-4.4331
-48,169.9333333,4.769,0.2999,-4.4691
-48,169.9666667,4.803,0.2999,-4.5031
-48,170,4.837,0.2999,-4.5371
-48,170.0333333,4.873,0.2999,-4.5731
-48,170.0666667,4.913,0.2999,-4.6131
-48,170.1,4.957,0.2999,-4.6571
-48,170.1333333,5.004,0.2999,-4.7041
-47.96666667,166.3,4.263,0.2999,-3.9631
-47.96666667,166.3333333,4.087,0.2999,-3.7871
-47.96666667,166.3666667,3.914,0.2999,-3.6141
-47.96666667,166.4,3.749,0.2999,-3.4491
-47.96666667,166.4333333,3.597,0.2999,-3.2971
-47.96666667,166.4666667,3.457,0.2999,-3.1571
-47.96666667,166.5,3.34,0.2999,-3.0401
-47.96666667,166.5333333,3.24,0.2999,-2.9401
-47.96666667,166.5666667,3.157,0.2999,-2.8571
-47.96666667,166.6,3.086,0.2999,-2.7861
-47.96666667,166.6333333,3.029,0.2999,-2.7291
-47.96666667,166.6666667,2.984,0.2999,-2.6841
-47.96666667,166.7,2.951,0.2999,-2.6511
-47.96666667,166.7333333,2.923,0.2999,-2.6231
-47.96666667,166.7666667,2.894,0.2999,-2.5941
-47.96666667,166.8,2.863,0.2999,-2.5631
-47.96666667,166.8333333,2.829,0.2999,-2.5291
-47.96666667,166.8666667,2.791,0.2999,-2.4911
-47.96666667,166.9,2.753,0.2999,-2.4531
-47.96666667,166.9333333,2.719,0.2999,-2.4191
-47.96666667,166.9666667,2.691,0.2999,-2.3911
-47.96666667,167,2.668,0.2999,-2.3681
-47.96666667,167.0333333,2.655,0.2999,-2.3551
-47.96666667,167.0666667,2.651,0.2999,-2.3511
-47.96666667,167.1,2.657,0.2999,-2.3571
-47.96666667,167.1333333,2.667,0.2999,-2.3671
-47.96666667,167.1666667,2.681,0.2999,-2.3811
-47.96666667,167.2,2.704,0.2999,-2.4041
-47.96666667,167.2333333,2.735,0.2999,-2.4351
-47.96666667,167.2666667,2.768,0.2999,-2.4681
-47.96666667,167.3,2.8,0.2999,-2.5001
-47.96666667,167.3333333,2.832,0.2999,-2.5321
-47.96666667,167.3666667,2.857,0.2999,-2.5571
-47.96666667,167.4,2.875,0.2999,-2.5751
-47.96666667,167.4333333,2.883,0.2999,-2.5831
-47.96666667,167.4666667,2.882,0.2999,-2.5821
-47.96666667,167.5,2.877,0.2999,-2.5771
-47.96666667,167.5333333,2.868,0.2999,-2.5681
-47.96666667,167.5666667,2.861,0.2999,-2.5611
-47.96666667,167.6,2.859,0.2999,-2.5591
-47.96666667,167.6333333,2.867,0.2999,-2.5671
-47.96666667,167.6666667,2.882,0.2999,-2.5821
-47.96666667,167.7,2.909,0.2999,-2.6091
-47.96666667,167.7333333,2.944,0.2999,-2.6441
-47.96666667,167.7666667,2.987,0.2999,-2.6871
-47.96666667,167.8,3.035,0.2999,-2.7351
-47.96666667,167.8333333,3.088,0.2999,-2.7881
-47.96666667,167.8666667,3.143,0.2999,-2.8431
-47.96666667,167.9,3.199,0.2999,-2.8991
-47.96666667,167.9333333,3.252,0.2999,-2.9521
-47.96666667,167.9666667,3.302,0.2999,-3.0021
-47.96666667,168,3.348,0.2999,-3.0481
-47.96666667,168.0333333,3.391,0.2999,-3.0911
-47.96666667,168.0666667,3.433,0.2999,-3.1331
-47.96666667,168.1,3.473,0.2999,-3.1731
-47.96666667,168.1333333,3.511,0.2999,-3.2111
-47.96666667,168.1666667,3.548,0.2999,-3.2481
-47.96666667,168.2,3.584,0.2999,-3.2841
-47.96666667,168.2333333,3.616,0.2999,-3.3161
-47.96666667,168.2666667,3.644,0.2999,-3.3441
-47.96666667,168.3,3.668,0.2999,-3.3681
-47.96666667,168.3333333,3.689,0.2999,-3.3891
-47.96666667,168.3666667,3.711,0.2999,-3.4111
-47.96666667,168.4,3.733,0.2999,-3.4331
-47.96666667,168.4333333,3.761,0.2999,-3.4611
-47.96666667,168.4666667,3.794,0.2999,-3.4941
-47.96666667,168.5,3.832,0.2999,-3.5321
-47.96666667,168.5333333,3.88,0.2999,-3.5801
-47.96666667,168.5666667,3.934,0.2999,-3.6341
-47.96666667,168.6,3.993,0.2999,-3.6931
-47.96666667,168.6333333,4.056,0.2999,-3.7561
-47.96666667,168.6666667,4.123,0.2999,-3.8231
-47.96666667,168.7,4.19,0.2999,-3.8901
-47.96666667,168.7333333,4.254,0.2999,-3.9541
-47.96666667,168.7666667,4.314,0.2999,-4.0141
-47.96666667,168.8,4.364,0.2999,-4.0641
-47.96666667,168.8333333,4.41,0.2999,-4.1101
-47.96666667,168.8666667,4.447,0.2999,-4.1471
-47.96666667,168.9,4.476,0.2999,-4.1761
-47.96666667,168.9333333,4.5,0.2999,-4.2001
-47.96666667,168.9666667,4.521,0.2999,-4.2211
-47.96666667,169,4.54,0.2999,-4.2401
-47.96666667,169.0333333,4.555,0.2999,-4.2551
-47.96666667,169.0666667,4.565,0.2999,-4.2651
-47.96666667,169.1,4.573,0.2999,-4.2731
-47.96666667,169.1333333,4.579,0.2999,-4.2791
-47.96666667,169.1666667,4.583,0.2999,-4.2831
-47.96666667,169.2,4.581,0.2999,-4.2811
-47.96666667,169.2333333,4.574,0.2999,-4.2741
-47.96666667,169.2666667,4.563,0.2999,-4.2631
-47.96666667,169.3,4.548,0.2999,-4.2481
-47.96666667,169.3333333,4.529,0.2999,-4.2291
-47.96666667,169.3666667,4.511,0.2999,-4.2111
-47.96666667,169.4,4.494,0.2999,-4.1941
-47.96666667,169.4333333,4.478,0.2999,-4.1781
-47.96666667,169.4666667,4.466,0.2999,-4.1661
-47.96666667,169.5,4.455,0.2999,-4.1551
-47.96666667,169.5333333,4.447,0.2999,-4.1471
-47.96666667,169.5666667,4.441,0.2999,-4.1411
-47.96666667,169.6,4.441,0.2999,-4.1411
-47.96666667,169.6333333,4.443,0.2999,-4.1431
-47.96666667,169.6666667,4.448,0.2999,-4.1481
-47.96666667,169.7,4.459,0.2999,-4.1591
-47.96666667,169.7333333,4.475,0.2999,-4.1751
-47.96666667,169.7666667,4.496,0.2999,-4.1961
-47.96666667,169.8,4.521,0.2999,-4.2211
-47.96666667,169.8333333,4.551,0.2999,-4.2511
-47.96666667,169.8666667,4.585,0.2999,-4.2851
-47.96666667,169.9,4.621,0.2999,-4.3211
-47.96666667,169.9333333,4.658,0.2999,-4.3581
-47.96666667,169.9666667,4.694,0.2999,-4.3941
-47.96666667,170,4.729,0.2999,-4.4291
-47.96666667,170.0333333,4.767,0.2999,-4.4671
-47.96666667,170.0666667,4.809,0.2999,-4.5091
-47.96666667,170.1,4.853,0.2999,-4.5531
-47.96666667,170.1333333,4.899,0.2999,-4.5991
-47.93333333,166.3,4.178,0.2999,-3.8781
-47.93333333,166.3333333,3.984,0.2999,-3.6841
-47.93333333,166.3666667,3.804,0.2999,-3.5041
-47.93333333,166.4,3.636,0.2999,-3.3361
-47.93333333,166.4333333,3.49,0.2999,-3.1901
-47.93333333,166.4666667,3.364,0.2999,-3.0641
-47.93333333,166.5,3.254,0.2999,-2.9541
-47.93333333,166.5333333,3.161,0.2999,-2.8611
-47.93333333,166.5666667,3.081,0.2999,-2.7811
-47.93333333,166.6,3.012,0.2999,-2.7121
-47.93333333,166.6333333,2.954,0.2999,-2.6541
-47.93333333,166.6666667,2.907,0.2999,-2.6071
-47.93333333,166.7,2.873,0.2999,-2.5731
-47.93333333,166.7333333,2.848,0.2999,-2.5481
-47.93333333,166.7666667,2.821,0.2999,-2.5211
-47.93333333,166.8,2.799,0.2999,-2.4991
-47.93333333,166.8333333,2.773,0.2999,-2.4731
-47.93333333,166.8666667,2.743,0.2999,-2.4431
-47.93333333,166.9,2.707,0.2999,-2.4071
-47.93333333,166.9333333,2.675,0.2999,-2.3751
-47.93333333,166.9666667,2.647,0.2999,-2.3471
-47.93333333,167,2.622,0.2999,-2.3221
-47.93333333,167.0333333,2.604,0.2999,-2.3041
-47.93333333,167.0666667,2.597,0.2999,-2.2971
-47.93333333,167.1,2.594,0.2999,-2.2941
-47.93333333,167.1333333,2.593,0.2999,-2.2931
-47.93333333,167.1666667,2.602,0.2999,-2.3021
-47.93333333,167.2,2.618,0.2999,-2.3181
-47.93333333,167.2333333,2.636,0.2999,-2.3361
-47.93333333,167.2666667,2.65,0.2999,-2.3501
-47.93333333,167.3,2.676,0.2999,-2.3761
-47.93333333,167.3333333,2.693,0.2999,-2.3931
-47.93333333,167.3666667,2.707,0.2999,-2.4071
-47.93333333,167.4,2.723,0.2999,-2.4231
-47.93333333,167.4333333,2.73,0.2999,-2.4301
-47.93333333,167.4666667,2.733,0.2999,-2.4331
-47.93333333,167.5,2.733,0.2999,-2.4331
-47.93333333,167.5333333,2.73,0.2999,-2.4301
-47.93333333,167.5666667,2.733,0.2999,-2.4331
-47.93333333,167.6,2.732,0.2999,-2.4321
-47.93333333,167.6333333,2.746,0.2999,-2.4461
-47.93333333,167.6666667,2.769,0.2999,-2.4691
-47.93333333,167.7,2.802,0.2999,-2.5021
-47.93333333,167.7333333,2.843,0.2999,-2.5431
-47.93333333,167.7666667,2.887,0.2999,-2.5871
-47.93333333,167.8,2.936,0.2999,-2.6361
-47.93333333,167.8333333,2.988,0.2999,-2.6881
-47.93333333,167.8666667,3.041,0.2999,-2.7411
-47.93333333,167.9,3.095,0.2999,-2.7951
-47.93333333,167.9333333,3.143,0.2999,-2.8431
-47.93333333,167.9666667,3.191,0.2999,-2.8911
-47.93333333,168,3.233,0.2999,-2.9331
-47.93333333,168.0333333,3.275,0.2999,-2.9751
-47.93333333,168.0666667,3.315,0.2999,-3.0151
-47.93333333,168.1,3.355,0.2999,-3.0551
-47.93333333,168.1333333,3.395,0.2999,-3.0951
-47.93333333,168.1666667,3.434,0.2999,-3.1341
-47.93333333,168.2,3.47,0.2999,-3.1701
-47.93333333,168.2333333,3.503,0.2999,-3.2031
-47.93333333,168.2666667,3.533,0.2999,-3.2331
-47.93333333,168.3,3.558,0.2999,-3.2581
-47.93333333,168.3333333,3.578,0.2999,-3.2781
-47.93333333,168.3666667,3.597,0.2999,-3.2971
-47.93333333,168.4,3.616,0.2999,-3.3161
