Lat,Long,Geoid2016,WGN53,WGN53_NZVD2016
-42.46666667,176.5333333,-11.787,0.4082,12.1952
-42.46666667,176.5666667,-11.849,0.4082,12.2572
-42.46666667,176.6,-11.913,0.4082,12.3212
-42.46666667,176.6333333,-11.979,0.4082,12.3872
-42.46666667,176.6666667,-12.047,0.4082,12.4552
-42.46666667,176.7,-12.114,0.4082,12.5222
-42.46666667,176.7333333,-12.18,0.4082,12.5882
-42.46666667,176.7666667,-12.245,0.4082,12.6532
-42.46666667,176.8,-12.31,0.4082,12.7182
-42.46666667,176.8333333,-12.37,0.4082,12.7782
-42.46666667,176.8666667,-12.429,0.4082,12.8372
-42.46666667,176.9,-12.486,0.4082,12.8942
-42.46666667,176.9333333,-12.542,0.4082,12.9502
-42.46666667,176.9666667,-12.595,0.4082,13.0032
-42.46666667,177,-12.649,0.4082,13.0572
-42.46666667,177.0333333,-12.702,0.4082,13.1102
-42.46666667,177.0666667,-12.754,0.4082,13.1622
-42.46666667,177.1,-12.808,0.4082,13.2162
-42.46666667,177.1333333,-12.861,0.4082,13.2692
-42.46666667,177.1666667,-12.913,0.4082,13.3212
-42.46666667,177.2,-12.964,0.4082,13.3722
-42.46666667,177.2333333,-13.013,0.4082,13.4212
-42.46666667,177.2666667,-13.065,0.4082,13.4732
-42.46666667,177.3,-13.113,0.4082,13.5212
-42.46666667,177.3333333,-13.171,0.4082,13.5792
-42.46666667,177.3666667,-13.234,0.4082,13.6422
-42.46666667,177.4,-13.303,0.4082,13.7112
-42.46666667,177.4333333,-13.376,0.4082,13.7842
-42.46666667,177.4666667,-13.452,0.4082,13.8602
-42.43333333,173.1333333,-15.439,0.4082,15.8472
-42.43333333,173.1666667,-15.335,0.4059,15.7409
-42.43333333,173.2,-15.084,0.4059,15.4899
-42.43333333,173.2333333,-14.856,0.4059,15.2619
-42.43333333,173.2666667,-14.623,0.4059,15.0289
-42.43333333,173.3,-14.436,0.406,14.842
-42.43333333,173.3333333,-14.253,0.406,14.659
-42.43333333,173.3666667,-14.07,0.4061,14.4761
-42.43333333,173.4,-13.918,0.4061,14.3241
-42.43333333,173.4333333,-13.708,0.4062,14.1142
-42.43333333,173.4666667,-13.53,0.4063,13.9363
-42.43333333,173.5,-13.306,0.4064,13.7124
-42.43333333,173.5333333,-13.01,0.4065,13.4165
-42.43333333,173.5666667,-12.747,0.4066,13.1536
-42.43333333,173.6,-12.493,0.4068,12.8998
-42.43333333,173.6333333,-12.27,0.4069,12.6769
-42.43333333,173.6666667,-12.06,0.407,12.467
-42.43333333,173.7,-11.85,0.4072,12.2572
-42.43333333,173.7333333,-11.628,0.4074,12.0354
-42.43333333,173.7666667,-11.39,0.4075,11.7975
-42.43333333,173.8,-11.151,0.4077,11.5587
-42.43333333,173.8333333,-10.904,0.4079,11.3119
-42.43333333,173.8666667,-10.661,0.4081,11.0691
-42.43333333,173.9,-10.426,0.4084,10.8344
-42.43333333,173.9333333,-10.225,0.4086,10.6336
-42.43333333,173.9666667,-10.007,0.4089,10.4159
-42.43333333,174,-9.813,0.4091,10.2221
-42.43333333,174.0333333,-9.629,0.4094,10.0384
-42.43333333,174.0666667,-9.449,0.4097,9.8587
-42.43333333,174.1,-9.284,0.41,9.694
-42.43333333,174.1333333,-9.132,0.4103,9.5423
-42.43333333,174.1666667,-8.997,0.4106,9.4076
-42.43333333,174.2,-8.885,0.4109,9.2959
-42.43333333,174.2333333,-8.779,0.4113,9.1903
-42.43333333,174.2666667,-8.694,0.4116,9.1056
-42.43333333,174.3,-8.619,0.412,9.031
-42.43333333,174.3333333,-8.551,0.4123,8.9633
-42.43333333,174.3666667,-8.491,0.4127,8.9037
-42.43333333,174.4,-8.427,0.4131,8.8401
-42.43333333,174.4333333,-8.376,0.4135,8.7895
-42.43333333,174.4666667,-8.336,0.4139,8.7499
-42.43333333,174.5,-8.294,0.4143,8.7083
-42.43333333,174.5333333,-8.266,0.4148,8.6808
-42.43333333,174.5666667,-8.233,0.4152,8.6482
-42.43333333,174.6,-8.227,0.4156,8.6426
-42.43333333,174.6333333,-8.207,0.4161,8.6231
-42.43333333,174.6666667,-8.202,0.4165,8.6185
-42.43333333,174.7,-8.205,0.417,8.622
-42.43333333,174.7333333,-8.216,0.4174,8.6334
-42.43333333,174.7666667,-8.246,0.4179,8.6639
-42.43333333,174.8,-8.271,0.4184,8.6894
-42.43333333,174.8333333,-8.308,0.4188,8.7268
-42.43333333,174.8666667,-8.347,0.4193,8.7663
-42.43333333,174.9,-8.389,0.4198,8.8088
-42.43333333,174.9333333,-8.427,0.4202,8.8472
-42.43333333,174.9666667,-8.457,0.4207,8.8777
-42.43333333,175,-8.491,0.4212,8.9122
-42.43333333,175.0333333,-8.528,0.4217,8.9497
-42.43333333,175.0666667,-8.568,0.4221,8.9901
-42.43333333,175.1,-8.619,0.4226,9.0416
-42.43333333,175.1333333,-8.677,0.4231,9.1001
-42.43333333,175.1666667,-8.737,0.4235,9.1605
-42.43333333,175.2,-8.801,0.424,9.225
-42.43333333,175.2333333,-8.863,0.4245,9.2875
-42.43333333,175.2666667,-8.931,0.4249,9.3559
-42.43333333,175.3,-8.996,0.4254,9.4214
-42.43333333,175.3333333,-9.065,0.4259,9.4909
-42.43333333,175.3666667,-9.138,0.4263,9.5643
-42.43333333,175.4,-9.209,0.4267,9.6357
-42.43333333,175.4333333,-9.286,0.4272,9.7132
-42.43333333,175.4666667,-9.357,0.4276,9.7846
-42.43333333,175.5,-9.428,0.4281,9.8561
-42.43333333,175.5333333,-9.5,0.4285,9.9285
-42.43333333,175.5666667,-9.571,0.4289,9.9999
-42.43333333,175.6,-9.641,0.4293,10.0703
-42.43333333,175.6333333,-9.71,0.4297,10.1397
-42.43333333,175.6666667,-9.775,0.4301,10.2051
-42.43333333,175.7,-9.837,0.4305,10.2675
-42.43333333,175.7333333,-9.898,0.4308,10.3288
-42.43333333,175.7666667,-9.963,0.4312,10.3942
-42.43333333,175.8,-10.031,0.4315,10.4625
-42.43333333,175.8333333,-10.102,0.4319,10.5339
-42.43333333,175.8666667,-10.176,0.4322,10.6082
-42.43333333,175.9,-10.252,0.4325,10.6845
-42.43333333,175.9333333,-10.33,0.4328,10.7628
-42.43333333,175.9666667,-10.41,0.4331,10.8431
-42.43333333,176,-10.492,0.4334,10.9254
-42.43333333,176.0333333,-10.576,0.4336,11.0096
-42.43333333,176.0666667,-10.661,0.4339,11.0949
-42.43333333,176.1,-10.743,0.4341,11.1771
-42.43333333,176.1333333,-10.82,0.4343,11.2543
-42.43333333,176.1666667,-10.894,0.4346,11.3286
-42.43333333,176.2,-10.966,0.4348,11.4008
-42.43333333,176.2333333,-11.037,0.4349,11.4719
-42.43333333,176.2666667,-11.107,0.4351,11.5421
-42.43333333,176.3,-11.175,0.4352,11.6102
-42.43333333,176.3333333,-11.239,0.4354,11.6744
-42.43333333,176.3666667,-11.299,0.4355,11.7345
-42.43333333,176.4,-11.353,0.4355,11.7885
-42.43333333,176.4333333,-11.404,0.4356,11.8396
-42.43333333,176.4666667,-11.454,0.4082,11.8622
-42.43333333,176.5,-11.505,0.4082,11.9132
-42.43333333,176.5333333,-11.562,0.4082,11.9702
-42.43333333,176.5666667,-11.623,0.4082,12.0312
-42.43333333,176.6,-11.687,0.4082,12.0952
-42.43333333,176.6333333,-11.755,0.4082,12.1632
-42.43333333,176.6666667,-11.822,0.4082,12.2302
-42.43333333,176.7,-11.891,0.4082,12.2992
-42.43333333,176.7333333,-11.959,0.4082,12.3672
-42.43333333,176.7666667,-12.026,0.4082,12.4342
-42.43333333,176.8,-12.094,0.4082,12.5022
-42.43333333,176.8333333,-12.159,0.4082,12.5672
-42.43333333,176.8666667,-12.22,0.4082,12.6282
-42.43333333,176.9,-12.28,0.4082,12.6882
-42.43333333,176.9333333,-12.336,0.4082,12.7442
-42.43333333,176.9666667,-12.394,0.4082,12.8022
-42.43333333,177,-12.45,0.4082,12.8582
-42.43333333,177.0333333,-12.508,0.4082,12.9162
-42.43333333,177.0666667,-12.569,0.4082,12.9772
-42.43333333,177.1,-12.629,0.4082,13.0372
-42.43333333,177.1333333,-12.685,0.4082,13.0932
-42.43333333,177.1666667,-12.747,0.4082,13.1552
-42.43333333,177.2,-12.809,0.4082,13.2172
-42.43333333,177.2333333,-12.867,0.4082,13.2752
-42.43333333,177.2666667,-12.927,0.4082,13.3352
-42.43333333,177.3,-12.997,0.4082,13.4052
-42.43333333,177.3333333,-13.063,0.4082,13.4712
-42.43333333,177.3666667,-13.139,0.4082,13.5472
-42.43333333,177.4,-13.221,0.4082,13.6292
-42.43333333,177.4333333,-13.296,0.4082,13.7042
-42.43333333,177.4666667,-13.383,0.4082,13.7912
-42.4,173.1333333,-15.626,0.4058,16.0318
-42.4,173.1666667,-15.534,0.4058,15.9398
-42.4,173.2,-15.443,0.4059,15.8489
-42.4,173.2333333,-15.203,0.4059,15.6089
-42.4,173.2666667,-15.008,0.4059,15.4139
-42.4,173.3,-14.874,0.406,15.28
-42.4,173.3333333,-14.64,0.406,15.046
-42.4,173.3666667,-14.404,0.4061,14.8101
-42.4,173.4,-14.173,0.4061,14.5791
-42.4,173.4333333,-13.954,0.4062,14.3602
-42.4,173.4666667,-13.738,0.4063,14.1443
-42.4,173.5,-13.521,0.4064,13.9274
-42.4,173.5333333,-13.285,0.4065,13.6915
-42.4,173.5666667,-13.056,0.4066,13.4626
-42.4,173.6,-12.817,0.4067,13.2237
-42.4,173.6333333,-12.601,0.4069,13.0079
-42.4,173.6666667,-12.38,0.407,12.787
-42.4,173.7,-12.159,0.4072,12.5662
-42.4,173.7333333,-11.925,0.4073,12.3323
-42.4,173.7666667,-11.69,0.4075,12.0975
-42.4,173.8,-11.44,0.4077,11.8477
-42.4,173.8333333,-11.184,0.4079,11.5919
-42.4,173.8666667,-10.928,0.4081,11.3361
-42.4,173.9,-10.685,0.4084,11.0934
-42.4,173.9333333,-10.45,0.4086,10.8586
-42.4,173.9666667,-10.224,0.4088,10.6328
-42.4,174,-10.007,0.4091,10.4161
-42.4,174.0333333,-9.804,0.4094,10.2134
-42.4,174.0666667,-9.623,0.4096,10.0326
-42.4,174.1,-9.441,0.4099,9.8509
-42.4,174.1333333,-9.284,0.4102,9.6942
-42.4,174.1666667,-9.142,0.4106,9.5526
-42.4,174.2,-9.023,0.4109,9.4339
-42.4,174.2333333,-8.913,0.4112,9.3242
-42.4,174.2666667,-8.823,0.4116,9.2346
-42.4,174.3,-8.73,0.412,9.142
-42.4,174.3333333,-8.65,0.4123,9.0623
-42.4,174.3666667,-8.573,0.4127,8.9857
-42.4,174.4,-8.498,0.4131,8.9111
-42.4,174.4333333,-8.438,0.4135,8.8515
-42.4,174.4666667,-8.37,0.4139,8.7839
-42.4,174.5,-8.318,0.4143,8.7323
-42.4,174.5333333,-8.277,0.4148,8.6918
-42.4,174.5666667,-8.233,0.4152,8.6482
-42.4,174.6,-8.199,0.4156,8.6146
-42.4,174.6333333,-8.175,0.4161,8.5911
-42.4,174.6666667,-8.157,0.4165,8.5735
-42.4,174.7,-8.151,0.417,8.568
-42.4,174.7333333,-8.153,0.4174,8.5704
-42.4,174.7666667,-8.16,0.4179,8.5779
-42.4,174.8,-8.174,0.4184,8.5924
-42.4,174.8333333,-8.204,0.4188,8.6228
-42.4,174.8666667,-8.239,0.4193,8.6583
-42.4,174.9,-8.273,0.4198,8.6928
-42.4,174.9333333,-8.302,0.4202,8.7222
-42.4,174.9666667,-8.332,0.4207,8.7527
-42.4,175,-8.361,0.4212,8.7822
-42.4,175.0333333,-8.393,0.4217,8.8147
-42.4,175.0666667,-8.431,0.4221,8.8531
-42.4,175.1,-8.473,0.4226,8.8956
-42.4,175.1333333,-8.52,0.4231,8.9431
-42.4,175.1666667,-8.577,0.4235,9.0005
-42.4,175.2,-8.635,0.424,9.059
-42.4,175.2333333,-8.695,0.4245,9.1195
-42.4,175.2666667,-8.756,0.4249,9.1809
-42.4,175.3,-8.814,0.4254,9.2394
-42.4,175.3333333,-8.878,0.4259,9.3039
-42.4,175.3666667,-8.943,0.4263,9.3693
