Lat,Long,Geoid2016,DUN58,DUN58_NZVD2016
-47.36666667,170.6333333,3.095,0.3287,-2.7663
-47.36666667,170.6666667,3.119,0.329,-2.79
-47.36666667,170.7,3.14,0.3292,-2.8108
-47.36666667,170.7333333,3.16,0.3294,-2.8306
-47.36666667,170.7666667,3.179,0.3296,-2.8494
-47.36666667,170.8,3.197,0.3298,-2.8672
-47.36666667,170.8333333,3.213,0.33,-2.883
-47.36666667,170.8666667,3.227,0.3302,-2.8968
-47.36666667,170.9,3.24,0.3303,-2.9097
-47.36666667,170.9333333,3.249,0.3305,-2.9185
-47.36666667,170.9666667,3.257,0.3306,-2.9264
-47.36666667,171,3.264,0.3307,-2.9333
-47.36666667,171.0333333,3.268,0.3308,-2.9372
-47.36666667,171.0666667,3.272,0.3309,-2.9411
-47.36666667,171.1,3.272,0.331,-2.941
-47.36666667,171.1333333,3.271,0.331,-2.94
-47.36666667,171.1666667,3.265,0.3311,-2.9339
-47.36666667,171.2,3.256,0.3257,-2.9303
-47.36666667,171.2333333,3.244,0.3257,-2.9183
-47.36666667,171.2666667,3.232,0.3257,-2.9063
-47.36666667,171.3,3.218,0.3257,-2.8923
-47.36666667,171.3333333,3.203,0.3257,-2.8773
-47.36666667,171.3666667,3.187,0.3257,-2.8613
-47.36666667,171.4,3.173,0.3257,-2.8473
-47.36666667,171.4333333,3.161,0.3257,-2.8353
-47.36666667,171.4666667,3.151,0.3257,-2.8253
-47.36666667,171.5,3.144,0.3257,-2.8183
-47.36666667,171.5333333,3.137,0.3257,-2.8113
-47.36666667,171.5666667,3.129,0.3257,-2.8033
-47.36666667,171.6,3.119,0.3257,-2.7933
-47.36666667,171.6333333,3.109,0.3257,-2.7833
-47.36666667,171.6666667,3.098,0.3257,-2.7723
-47.36666667,171.7,3.089,0.3257,-2.7633
-47.36666667,171.7333333,3.083,0.3257,-2.7573
-47.36666667,171.7666667,3.079,0.3257,-2.7533
-47.36666667,171.8,3.077,0.3257,-2.7513
-47.36666667,171.8333333,3.079,0.3257,-2.7533
-47.36666667,171.8666667,3.083,0.3257,-2.7573
-47.36666667,171.9,3.088,0.3257,-2.7623
-47.36666667,171.9333333,3.093,0.3257,-2.7673
-47.36666667,171.9666667,3.098,0.3257,-2.7723
-47.36666667,172,3.1,0.3257,-2.7743
-47.36666667,172.0333333,3.1,0.3257,-2.7743
-47.36666667,172.0666667,3.101,0.3257,-2.7753
-47.36666667,172.1,3.099,0.3257,-2.7733
-47.36666667,172.1333333,3.096,0.3257,-2.7703
-47.36666667,172.1666667,3.092,0.3257,-2.7663
-47.36666667,172.2,3.089,0.3257,-2.7633
-47.36666667,172.2333333,3.085,0.3257,-2.7593
-47.36666667,172.2666667,3.082,0.3257,-2.7563
-47.36666667,172.3,3.078,0.3257,-2.7523
-47.36666667,172.3333333,3.071,0.3257,-2.7453
-47.36666667,172.3666667,3.056,0.3257,-2.7303
-47.36666667,172.4,3.036,0.3257,-2.7103
-47.36666667,172.4333333,3.015,0.3257,-2.6893
-47.36666667,172.4666667,2.998,0.3257,-2.6723
-47.36666667,172.5,2.987,0.3257,-2.6613
-47.36666667,172.5333333,2.988,0.3257,-2.6623
-47.33333333,167.2333333,0.454,0.3257,-0.1283
-47.33333333,167.2666667,0.389,0.3257,-0.0633
-47.33333333,167.3,0.326,0.3257,-0.0003
-47.33333333,167.3333333,0.264,0.3257,0.0617
-47.33333333,167.3666667,0.205,0.3257,0.1207
-47.33333333,167.4,0.151,0.3257,0.1747
-47.33333333,167.4333333,0.106,0.3257,0.2197
-47.33333333,167.4666667,0.071,0.3257,0.2547
-47.33333333,167.5,0.049,0.3257,0.2767
-47.33333333,167.5333333,0.042,0.3257,0.2837
-47.33333333,167.5666667,0.042,0.3257,0.2837
-47.33333333,167.6,0.044,0.3257,0.2817
-47.33333333,167.6333333,0.045,0.3257,0.2807
-47.33333333,167.6666667,0.04,0.3257,0.2857
-47.33333333,167.7,0.031,0.3257,0.2947
-47.33333333,167.7333333,0.021,0.3257,0.3047
-47.33333333,167.7666667,0.014,0.3257,0.3117
-47.33333333,167.8,0.01,0.3257,0.3157
-47.33333333,167.8333333,0.013,0.3257,0.3127
-47.33333333,167.8666667,0.025,0.3257,0.3007
-47.33333333,167.9,0.04,0.3257,0.2857
-47.33333333,167.9333333,0.059,0.3257,0.2667
-47.33333333,167.9666667,0.079,0.3257,0.2467
-47.33333333,168,0.103,0.3257,0.2227
-47.33333333,168.0333333,0.126,0.3257,0.1997
-47.33333333,168.0666667,0.152,0.3257,0.1737
-47.33333333,168.1,0.18,0.3257,0.1457
-47.33333333,168.1333333,0.211,0.3257,0.1147
-47.33333333,168.1666667,0.245,0.3257,0.0807
-47.33333333,168.2,0.281,0.3257,0.0447
-47.33333333,168.2333333,0.32,0.3257,0.0057
-47.33333333,168.2666667,0.358,0.3171,-0.0409
-47.33333333,168.3,0.396,0.3171,-0.0789
-47.33333333,168.3333333,0.434,0.3171,-0.1169
-47.33333333,168.3666667,0.473,0.3172,-0.1558
-47.33333333,168.4,0.513,0.3172,-0.1958
-47.33333333,168.4333333,0.558,0.3172,-0.2408
-47.33333333,168.4666667,0.604,0.3172,-0.2868
-47.33333333,168.5,0.653,0.3173,-0.3357
-47.33333333,168.5333333,0.702,0.3173,-0.3847
-47.33333333,168.5666667,0.752,0.3173,-0.4347
-47.33333333,168.6,0.8,0.3174,-0.4826
-47.33333333,168.6333333,0.848,0.3174,-0.5306
-47.33333333,168.6666667,0.896,0.3175,-0.5785
-47.33333333,168.7,0.944,0.3175,-0.6265
-47.33333333,168.7333333,0.993,0.3176,-0.6754
-47.33333333,168.7666667,1.043,0.3176,-0.7254
-47.33333333,168.8,1.092,0.3177,-0.7743
-47.33333333,168.8333333,1.142,0.3177,-0.8243
-47.33333333,168.8666667,1.19,0.3178,-0.8722
-47.33333333,168.9,1.237,0.3179,-0.9191
-47.33333333,168.9333333,1.283,0.3179,-0.9651
-47.33333333,168.9666667,1.328,0.318,-1.01
-47.33333333,169,1.37,0.3181,-1.0519
-47.33333333,169.0333333,1.41,0.3182,-1.0918
-47.33333333,169.0666667,1.449,0.3183,-1.1307
-47.33333333,169.1,1.487,0.3184,-1.1686
-47.33333333,169.1333333,1.526,0.3185,-1.2075
-47.33333333,169.1666667,1.567,0.3186,-1.2484
-47.33333333,169.2,1.61,0.3187,-1.2913
-47.33333333,169.2333333,1.655,0.3188,-1.3362
-47.33333333,169.2666667,1.702,0.3189,-1.3831
-47.33333333,169.3,1.745,0.319,-1.426
-47.33333333,169.3333333,1.783,0.3191,-1.4639
-47.33333333,169.3666667,1.813,0.3193,-1.4937
-47.33333333,169.4,1.835,0.3194,-1.5156
-47.33333333,169.4333333,1.851,0.3196,-1.5314
-47.33333333,169.4666667,1.86,0.3197,-1.5403
-47.33333333,169.5,1.865,0.3199,-1.5451
-47.33333333,169.5333333,1.871,0.3201,-1.5509
-47.33333333,169.5666667,1.879,0.3203,-1.5587
-47.33333333,169.6,1.891,0.3205,-1.5705
-47.33333333,169.6333333,1.909,0.3207,-1.5883
-47.33333333,169.6666667,1.933,0.3209,-1.6121
-47.33333333,169.7,1.964,0.3211,-1.6429
-47.33333333,169.7333333,2,0.3213,-1.6787
-47.33333333,169.7666667,2.04,0.3215,-1.7185
-47.33333333,169.8,2.083,0.3218,-1.7612
-47.33333333,169.8333333,2.13,0.322,-1.808
-47.33333333,169.8666667,2.177,0.3223,-1.8547
-47.33333333,169.9,2.226,0.3225,-1.9035
-47.33333333,169.9333333,2.273,0.3228,-1.9502
-47.33333333,169.9666667,2.32,0.3231,-1.9969
-47.33333333,170,2.365,0.3233,-2.0417
-47.33333333,170.0333333,2.408,0.3236,-2.0844
-47.33333333,170.0666667,2.451,0.3239,-2.1271
-47.33333333,170.1,2.494,0.3242,-2.1698
-47.33333333,170.1333333,2.535,0.3245,-2.2105
-47.33333333,170.1666667,2.577,0.3248,-2.2522
-47.33333333,170.2,2.613,0.3251,-2.2879
-47.33333333,170.2333333,2.647,0.3254,-2.3216
-47.33333333,170.2666667,2.678,0.3257,-2.3523
-47.33333333,170.3,2.706,0.326,-2.38
-47.33333333,170.3333333,2.734,0.3263,-2.4077
-47.33333333,170.3666667,2.76,0.3266,-2.4334
-47.33333333,170.4,2.785,0.3268,-2.4582
-47.33333333,170.4333333,2.811,0.3271,-2.4839
-47.33333333,170.4666667,2.837,0.3274,-2.5096
-47.33333333,170.5,2.865,0.3277,-2.5373
-47.33333333,170.5333333,2.895,0.328,-2.567
-47.33333333,170.5666667,2.926,0.3282,-2.5978
-47.33333333,170.6,2.955,0.3285,-2.6265
-47.33333333,170.6333333,2.983,0.3287,-2.6543
-47.33333333,170.6666667,3.008,0.329,-2.679
-47.33333333,170.7,3.029,0.3292,-2.6998
-47.33333333,170.7333333,3.048,0.3294,-2.7186
-47.33333333,170.7666667,3.066,0.3296,-2.7364
-47.33333333,170.8,3.081,0.3298,-2.7512
-47.33333333,170.8333333,3.098,0.33,-2.768
-47.33333333,170.8666667,3.114,0.3302,-2.7838
-47.33333333,170.9,3.128,0.3303,-2.7977
-47.33333333,170.9333333,3.14,0.3305,-2.8095
-47.33333333,170.9666667,3.151,0.3306,-2.8204
-47.33333333,171,3.16,0.3308,-2.8292
-47.33333333,171.0333333,3.165,0.3309,-2.8341
-47.33333333,171.0666667,3.167,0.3309,-2.8361
-47.33333333,171.1,3.165,0.331,-2.834
-47.33333333,171.1333333,3.16,0.3311,-2.8289
-47.33333333,171.1666667,3.149,0.3311,-2.8179
-47.33333333,171.2,3.135,0.3257,-2.8093
-47.33333333,171.2333333,3.121,0.3257,-2.7953
-47.33333333,171.2666667,3.107,0.3257,-2.7813
-47.33333333,171.3,3.093,0.3257,-2.7673
-47.33333333,171.3333333,3.079,0.3257,-2.7533
-47.33333333,171.3666667,3.065,0.3257,-2.7393
-47.33333333,171.4,3.053,0.3257,-2.7273
-47.33333333,171.4333333,3.042,0.3257,-2.7163
-47.33333333,171.4666667,3.033,0.3257,-2.7073
-47.33333333,171.5,3.026,0.3257,-2.7003
-47.33333333,171.5333333,3.019,0.3257,-2.6933
-47.33333333,171.5666667,3.012,0.3257,-2.6863
-47.33333333,171.6,3.003,0.3257,-2.6773
