Lat,Long,Geoid2016,NSN55,NSN55_NZVD16
-43.56666667,173.8,-11.546,0.3582,11.9042
-43.56666667,173.8333333,-11.547,0.3589,11.9059
-43.56666667,173.8666667,-11.544,0.3595,11.9035
-43.56666667,173.9,-11.535,0.3601,11.8951
-43.56666667,173.9333333,-11.522,0.3607,11.8827
-43.56666667,173.9666667,-11.503,0.3613,11.8643
-43.56666667,174,-11.48,0.3618,11.8418
-43.56666667,174.0333333,-11.459,0.3623,11.8213
-43.56666667,174.0666667,-11.444,0.3627,11.8067
-43.56666667,174.1,-11.439,0.3631,11.8021
-43.56666667,174.1333333,-11.444,0.3635,11.8075
-43.56666667,174.1666667,-11.454,0.3638,11.8178
-43.56666667,174.2,-11.472,0.364,11.836
-43.56666667,174.2333333,-11.498,0.3642,11.8622
-43.56666667,174.2666667,-11.522,0.3642,11.8862
-43.56666667,174.3,-11.557,0.3285,11.8855
-43.56666667,174.3333333,-11.596,0.3285,11.9245
-43.56666667,174.3666667,-11.644,0.3285,11.9725
-43.56666667,174.4,-11.693,0.3285,12.0215
-43.56666667,174.4333333,-11.751,0.3285,12.0795
-43.56666667,174.4666667,-11.803,0.3285,12.1315
-43.56666667,174.5,-11.864,0.3285,12.1925
-43.56666667,174.5333333,-11.928,0.3285,12.2565
-43.56666667,174.5666667,-11.994,0.3285,12.3225
-43.56666667,174.6,-12.066,0.3285,12.3945
-43.56666667,174.6333333,-12.141,0.3285,12.4695
-43.56666667,174.6666667,-12.215,0.3285,12.5435
-43.56666667,174.7,-12.29,0.3285,12.6185
-43.56666667,174.7333333,-12.362,0.3285,12.6905
-43.56666667,174.7666667,-12.438,0.3285,12.7665
-43.56666667,174.8,-12.509,0.3285,12.8375
-43.56666667,174.8333333,-12.582,0.3285,12.9105
-43.56666667,174.8666667,-12.656,0.3285,12.9845
-43.56666667,174.9,-12.732,0.3285,13.0605
-43.56666667,174.9333333,-12.811,0.3285,13.1395
-43.56666667,174.9666667,-12.888,0.3285,13.2165
-43.56666667,175,-12.97,0.3285,13.2985
-43.56666667,175.0333333,-13.047,0.3285,13.3755
-43.56666667,175.0666667,-13.123,0.3285,13.4515
-43.56666667,175.1,-13.188,0.3285,13.5165
-43.56666667,175.1333333,-13.249,0.3285,13.5775
-43.56666667,175.1666667,-13.301,0.3285,13.6295
-43.56666667,175.2,-13.345,0.3285,13.6735
-43.56666667,175.2333333,-13.384,0.3285,13.7125
-43.56666667,175.2666667,-13.417,0.3285,13.7455
-43.56666667,175.3,-13.444,0.3285,13.7725
-43.56666667,175.3333333,-13.469,0.3285,13.7975
